net_pnl,cagr,total_return,sharpe_ratio,sortino_ratio,mar_ratio,max_drawdown,max_drawdown_pct,longest_flat_spell_days,current_drawdown,profit_factor,expectancy,hit_rate,avg_r_per_win,avg_r_per_loss,slippage_pct,fill_ratio,avg_holding_time_hours,total_trades,winning_trades,losing_trades,walk_forward_degradation,monte_carlo_5th_percentile,avg_order_book_impact_pct,max_order_book_impact_pct,start_date,end_date,initial_balance,final_balance,symbol,timeframe,market_regime
-622.9223403099943,-0.9331689666097359,-0.06453647345659465,-25.5387639332591,-52.62183281745476,0,0,0,0,0.0,0.003816416926704919,-17.797781151714123,0.11428571428571428,0.5966097524533259,-20.17125094580024,0.014555552029934292,0.0,8.438095238095238,35,4,31,0.0,0.0,0.0,0.0,2025-06-21 16:55:00,2025-06-30 21:45:00,10000.0,9354.635265434054,SOL,5m,BULL_TREND
-633.9500683546307,-0.936267136000837,-0.06563072194825235,-25.67747902635633,-54.51361212398001,0,0,0,0,0.0,0.004678529986743293,-18.11285909584659,0.11428571428571428,0.744973984348895,-20.546127880387946,0.015850049623911497,0.0,8.454761904761904,35,4,31,0.0,0.0,0.0,0.0,2025-06-21 16:55:00,2025-06-30 21:50:00,10000.0,9343.692780517476,SOL,5m,BEAR_TREND
-621.757224211506,-0.9300141277746651,-0.06347191895523592,-25.543734024494206,-53.31755868515893,0,0,0,0,0.0,0.003856600782682898,-17.764492120328743,0.11428571428571428,0.6017882062504449,-20.134334743113158,0.014184339966632015,0.0,8.438095238095238,35,4,31,0.0,0.0,0.0,0.0,2025-06-21 16:55:00,2025-06-30 21:45:00,10000.0,9365.28081044764,SOL,5m,RANGE_BOUND
-627.4532707830222,-0.9344617143963139,-0.06498691889604724,-25.55008219122101,-53.18920679328744,0,0,0,0,0.0,0.004560779088917541,-17.927236308086346,0.11428571428571428,0.7186967563024478,-20.333163155104256,0.016636386728751784,0.0,8.466666666666667,35,4,31,0.0,0.0,0.0,0.0,2025-06-21 16:55:00,2025-06-30 21:45:00,10000.0,9350.130811039528,SOL,5m,HIGH_VOLATILITY
-610.4016218309097,-0.9266920137454663,-0.06240036617534006,-25.673810033798883,-53.20083127200854,0,0,0,0,0.0,0.0038663719776754215,-17.44004633802599,0.11428571428571428,0.5922999835022555,-19.766800702094155,0.013106788489435289,0.0,8.452380952380953,35,4,31,0.0,0.0,0.0,0.0,2025-06-21 16:55:00,2025-06-30 21:45:00,10000.0,9375.9963382466,SOL,5m,BEAR_TREND
-12746.320637477447,2.642641669202151,0.9879098662859371,-3.3983850018511865,-7.341333153955471,0,0,0,0,0.0,0.5889406271112527,-10.422175500799222,0.42354865085854454,35.25510710887395,-43.983639886346296,0.01504081254539673,0.0,13.22812755519215,1223,518,705,0.0,0.0,0.0,0.0,2024-12-12 18:00:00,2025-06-25 01:00:00,10000.0,19879.09866285937,BTC,1h,BULL_TREND
-12617.785873260298,2.702868501362678,1.0053121949366335,-3.4024052102977933,-7.335434374817187,0,0,0,0,0.0,0.596813133043155,-10.3170775742112,0.42354865085854454,36.05665108413333,-44.390256928853006,0.015150588445323031,0.0,13.256745707277187,1223,518,705,0.0,0.0,0.0,0.0,2024-12-12 18:00:00,2025-06-25 01:00:00,10000.0,20053.121949366334,BTC,1h,BEAR_TREND
-12619.863881144825,2.6370085712959983,0.9862753328262978,-3.3748738692921765,-7.2717548994718095,0,0,0,0,0.0,0.5929132542340363,-10.318776681230437,0.4243663123466885,35.415347628135926,-44.0347007104366,0.014939732802624311,0.0,13.253475061324611,1223,519,704,0.0,0.0,0.0,0.0,2024-12-12 18:00:00,2025-06-25 01:00:00,10000.0,19862.753328262977,BTC,1h,RANGE_BOUND
-12806.411142616384,2.566638484783113,0.9657554557106589,-3.4460497712138656,-7.3047147944632185,0,0,0,0,0.0,0.5857032979374083,-10.471309192654443,0.4219133278822568,35.08681379751643,-43.72165072437742,0.014935781593314495,0.0,13.244480784955028,1223,516,707,0.0,0.0,0.0,0.0,2024-12-12 18:00:00,2025-06-25 01:00:00,10000.0,19657.55455710659,BTC,1h,HIGH_VOLATILITY
-12847.607064808566,2.5276826711299347,0.9543143701039815,-3.423140092618916,-7.371601610280357,0,0,0,0,0.0,0.5846912361164738,-10.504993511699563,0.4243663123466885,34.85060937175209,-43.94186552378955,0.015094095304710326,0.0,13.255110384300899,1223,519,704,0.0,0.0,0.0,0.0,2024-12-12 18:00:00,2025-06-25 01:00:00,10000.0,19543.143701039815,BTC,1h,BULL_TREND
902.8350037445139,3966849.809100173,0.08681561044140526,26.066122213921716,345.0092894786239,0,0,0,0,0.0,471.95691576005873,25.795285821271825,0.9428571428571428,27.41672806799639,-0.958511249683492,0.01613238088767931,0.0,5.949999999999999,35,33,2,0.0,0.0,0.0,0.0,2025-06-20 13:20:00,2025-06-22 17:40:00,10000.0,10868.156104414053,ETH,5m,BULL_TREND
915.733952859915,4961783.012626906,0.08814914864085385,26.271517017502024,202.99216905448546,0,0,0,0,0.0,465.6171267926671,26.163827224569,0.9428571428571428,27.809239273643104,-0.9854715851537651,0.01633013358638578,0.0,6.135714285714285,35,33,2,0.0,0.0,0.0,0.0,2025-06-20 13:20:00,2025-06-22 17:40:00,10000.0,10881.491486408539,ETH,5m,BEAR_TREND
899.2747913658484,4481239.671540779,0.08754194955845815,26.0779692902425,327.9892631191549,0,0,0,0,0.0,467.48226550411977,25.69356546759567,0.9428571428571428,27.309168803905667,-0.9638895815192641,0.014770858348617792,0.0,6.133333333333333,35,33,2,0.0,0.0,0.0,0.0,2025-06-20 13:20:00,2025-06-22 17:40:00,10000.0,10875.419495584581,ETH,5m,RANGE_BOUND
900.1401831290483,4425075.1721284175,0.08746679286823274,26.017883828778697,225.23109383335427,0,0,0,0,0.0,459.18242353070724,25.718290946544236,0.9428571428571428,27.336508248574695,-0.9822945369582922,0.015086316102153802,0.0,5.952380952380952,35,33,2,0.0,0.0,0.0,0.0,2025-06-20 13:20:00,2025-06-22 17:40:00,10000.0,10874.667928682327,ETH,5m,HIGH_VOLATILITY
897.3515291502115,4009506.8133381843,0.08687930840405006,26.09108602425139,251.20744049196688,0,0,0,0,0.0,458.79672251531736,25.638615118577473,0.9428571428571428,27.251869150117678,-0.9800764018359558,0.016911898781675556,0.0,6.135714285714285,35,33,2,0.0,0.0,0.0,0.0,2025-06-20 13:20:00,2025-06-22 17:40:00,10000.0,10868.7930840405,ETH,5m,BEAR_TREND
-69942.40425056263,106.70725993075246,12.497777821367126,-1.6946265482825535,-3.773719384892881,0,0,0,0,0.0,0.8182813116679163,-20.559201719742102,0.44562022339800117,207.75160850500535,-204.07945002340955,0.014896076240312644,0.0,11.38447971781305,3402,1516,1886,0.0,0.0,0.0,0.0,2024-12-12 12:00:00,2025-07-04 02:00:00,10000.0,134977.77821367126,ETH,1h,BULL_TREND
-39754.29060313438,35.52615225516246,6.397153803359669,-1.650101913106907,-3.6693173858326666,0,0,0,0,0.0,0.813657858970918,-11.685564551185886,0.4467960023515579,114.20133020967953,-113.35829570767662,0.015145373189054453,0.0,11.385655496766608,3402,1520,1882,0.0,0.0,0.0,0.0,2024-12-12 12:00:00,2025-07-04 02:00:00,10000.0,73971.53803359669,ETH,1h,BEAR_TREND
-72831.9559865984,106.34058294159657,12.47220181985963,-1.692548268193686,-3.770359986902269,0,0,0,0,0.0,0.8117701311920961,-21.408570248853145,0.445326278659612,207.3260477220355,-205.05083109988436,0.014965860069904866,0.0,11.372721928277484,3402,1515,1887,0.0,0.0,0.0,0.0,2024-12-12 12:00:00,2025-07-04 02:00:00,10000.0,134722.01819859628,ETH,1h,RANGE_BOUND
-38299.68200245313,35.48670397651705,6.392709577890117,-1.6819842867805674,-3.7489899702328082,0,0,0,0,0.0,0.8193352434060052,-11.25799000659998,0.4462081128747795,114.42254219807252,-112.52287741991906,0.01488073786277787,0.0,11.404761904761905,3402,1518,1884,0.0,0.0,0.0,0.0,2024-12-12 12:00:00,2025-07-04 02:00:00,10000.0,73927.09577890117,ETH,1h,HIGH_VOLATILITY
-45100.75739001476,52.689270638164714,8.164353169645725,-1.6633842017527847,-3.698704297432054,0,0,0,0,0.0,0.8231732677504412,-13.257130332161893,0.44650205761316875,138.2195257396352,-135.45205363171553,0.014802433579195785,0.0,11.410640799529688,3402,1519,1883,0.0,0.0,0.0,0.0,2024-12-12 12:00:00,2025-07-04 02:00:00,10000.0,91643.53169645726,ETH,1h,BULL_TREND
243.5824746295375,0.0,0.023686780656272093,3.579584614471456,79.32626736212424,0,0,0,0,0.0,202.00980421322035,48.7164949259075,0.6,81.59808954308428,-0.6058969998576745,0.018574317186435076,0.0,5.2666666666666675,5,3,2,0.0,0.0,0.0,0.0,2025-06-22 09:10:00,2025-06-22 15:15:00,10000.0,10236.867806562721,AVAX,5m,BULL_TREND
249.84069516096804,0.0,0.024284899433317512,3.5715413913029668,168.81260515693813,0,0,0,0,0.0,207.44136288582934,49.968139032193605,0.6,83.68364037136118,-0.6051129765577559,0.01266494914999855,0.0,5.283333333333333,5,3,2,0.0,0.0,0.0,0.0,2025-06-22 09:10:00,2025-06-22 15:15:00,10000.0,10242.848994333175,AVAX,5m,BEAR_TREND
249.03216907975087,0.0,0.024203741639696453,3.5416533274079027,78.06594146406339,0,0,0,0,0.0,202.0253566089027,49.80643381595017,0.6,83.42365960546547,-0.6194048683227709,0.014862902324916563,0.0,5.2666666666666675,5,3,2,0.0,0.0,0.0,0.0,2025-06-22 09:10:00,2025-06-22 15:15:00,10000.0,10242.037416396965,AVAX,5m,RANGE_BOUND
249.56974651486178,0.0,0.024257469985237912,3.6082297912436254,61.05764323763506,0,0,0,0,0.0,202.2732971290311,49.913949302972355,0.6,83.60323369813493,-0.6199772897715017,0.022413169718367248,0.0,5.2666666666666675,5,3,2,0.0,0.0,0.0,0.0,2025-06-22 09:10:00,2025-06-22 15:15:00,10000.0,10242.57469985238,AVAX,5m,HIGH_VOLATILITY
251.0405547178089,0.0,0.02487312768584579,3.6566596427159155,60.648460646744766,0,0,0,0,0.0,203.03830393047164,50.20811094356178,0.6,84.09436470886483,-0.6212697043927884,0.010385233035075218,0.0,5.2666666666666675,5,3,2,0.0,0.0,0.0,0.0,2025-06-22 09:10:00,2025-06-22 15:15:00,10000.0,10248.731276858458,AVAX,5m,RANGE_BOUND
-8.054260696485173,0.0,-0.0017523897251972812,4.997665979689496,103.0430425744468,0,0,0,0,0.0,0.9626849555672766,-0.5753043354632267,0.6428571428571429,23.087844828623226,-43.16897283081884,0.016165658581496635,0.0,2.4285714285714284,14,9,5,0.0,0.0,0.0,0.0,2025-06-22 08:45:00,2025-06-22 15:05:00,10000.0,9982.476102748027,DOGE,5m,BULL_TREND
-4.006475316561028,0.0,-0.001750574210511695,5.157607632858302,140.6524942666239,0,0,0,0,0.0,0.981482340520894,-0.28617680832578773,0.6428571428571429,23.594803144379863,-43.271940723195954,0.011350586544251567,0.0,2.4285714285714284,14,9,5,0.0,0.0,0.0,0.0,2025-06-22 08:45:00,2025-06-22 15:05:00,10000.0,9982.494257894883,DOGE,5m,BEAR_TREND
1.5189735472786265,0.0,-0.001261515841815526,5.074829120076057,105.43222186068301,0,0,0,0,0.0,1.0071631558060556,0.1084981105199019,0.6428571428571429,23.73029481052882,-42.41073594949615,0.017778998314149152,0.0,2.4285714285714284,14,9,5,0.0,0.0,0.0,0.0,2025-06-22 08:45:00,2025-06-22 15:05:00,10000.0,9987.384841581845,DOGE,5m,RANGE_BOUND
-1.1507963015492058,0.0,-0.0006405509355796312,5.068463542338771,102.9330145905174,0,0,0,0,0.0,0.9946529378704001,-0.08219973582494326,0.6428571428571429,23.78550011790335,-43.04405947253587,0.010066364580603147,0.0,2.4285714285714284,14,9,5,0.0,0.0,0.0,0.0,2025-06-22 08:45:00,2025-06-22 15:05:00,10000.0,9993.594490644204,DOGE,5m,HIGH_VOLATILITY
-8.7826983157092,0.0,-0.0021699680226471172,4.944556077696206,108.68792213025107,0,0,0,0,0.0,0.9593416541090558,-0.6273355939792286,0.6428571428571429,23.025499015989553,-43.20243789192303,0.015573369059837614,0.0,2.4285714285714284,14,9,5,0.0,0.0,0.0,0.0,2025-06-22 08:45:00,2025-06-22 15:05:00,10000.0,9978.300319773529,DOGE,5m,RANGE_BOUND
